"Item #","Qty","UPC","Aux 1","Desc 1","Desc 2","Size","Attr","Aux 5","Aux 2","Inven P$T$","Desc 3","Desc 4","Aux 6"
"424310","2","8057735739691","201850","52J00007_1T001723H001","370 CLOSE - DYED","38","G215","3311","TRUSSARDI JEANS MAN","69,00","1Y091487 EAGLE SME","370 COLOR","Jeans 5 poColor"
"417087","2","8057735683215","201850","56M00131_0F000196","BLAZER WOOL BLEND","M","U280","BLUE","TRUSSARDI JEANS WOMA","115,00","WOOL BLEND","BLAZER","Knitwear  Blazer"
"352496","2","8057735600892","201810","36T00050_1T002190","T-SHIRT JERSEY COTONE LIGHT","M","W620","2912","TRUSSARDI RTW WOMAN","69,00","JERSEY COTONE LIGHT 100%CO ONE","T-SHIRT","T-shirt   T-shirt"
"376693","2","8057735594382","201721","52J00043_1T001950C005","370 CLOSE DENIM LIGHT STRETCH","33","U255","3208","TRUSSARDI JEANS MAN","79,00","DENIM LIGHT STRETCH 97%CO 3%EA","370 CLOSE DENIM","Jeans 5 poDenim"
"376694","2","8057735594399","201721","52J00043_1T001950C005","370 CLOSE DENIM LIGHT STRETCH","32","U255","3208","TRUSSARDI JEANS MAN","79,00","DENIM LIGHT STRETCH 97%CO 3%EA","370 CLOSE DENIM","Jeans 5 poDenim"
"417086","2","8057735683208","201850","56M00131_0F000196","BLAZER WOOL BLEND","S","U280","BLUE","TRUSSARDI JEANS WOMA","115,00","WOOL BLEND","BLAZER","Knitwear  Blazer"
"303507","2","8052085769398","201650","36H90148_1Y091920","GIACCA CREPE LANA","40","B261","TAUPE","TRUSSARDI RTW WOMAN","299,00","CREPE LANA","GIACCA","Blazer/SuiBlazer"
"341454","2","8058322409706","201710","77A90326_9Y099999","SCARPA CANVAS LOGO LATERALE","45","9006","2885","TJ SHOES MAN","49,00","GENERICO","SCARPA","Shoes     Sneaker"
"341453","2","8058322409690","201710","77A90326_9Y099999","SCARPA CANVAS LOGO LATERALE","44","9006","2885","TJ SHOES MAN","49,00","GENERICO","SCARPA","Shoes     Sneaker"
"206197","2","8052085445292","201610","56J91905_1T091445","JEANS 5 TASCHE DIAGONALE LEGGE","30","9006","2885","TRUSSARDI JEANS WOMA","59,00","23589 DIAGONAL LYC","JEANS 5 TASCHE","Jeans 5 poColor"
"352488","2","8057735600960","201810","36T00050_1T002190","T-SHIRT JERSEY COTONE LIGHT","XXS","W615","3321","TRUSSARDI RTW WOMAN","69,00","JERSEY COTONE LIGHT 100%CO ONE","T-SHIRT","T-shirt   T-shirt"
"376667","2","8057735594887","201721","52J00039_1T001949H001","370 GABARDINA STRETCH","35","W050","BEIGE","TRUSSARDI JEANS MAN","69,00","GABARDINA STRETCH","370 COLOR","Jeans 5 poColor"
"313968","2","8057735433209","201810","52J00009_1Y090565A001","380 EXTRA SLIM - URBAN WASHED","34","U290","2226","TRUSSARDI JEANS MAN","75,00","MEGEVE PI35X","380 EXTRA SLIM DENIM","Jeans 5 poDenim"
"297365","2","8057735209071","201750","52C00015_9Y099999","REGULAR TWILL CHECK W/FLANNEL","42","U040","3194","TRUSSARDI JEANS MAN","105,00","GENERICO","SHIRT","Shirt     Shirt"
"352494","2","8057735600878","201810","36T00050_1T002190","T-SHIRT JERSEY COTONE LIGHT","XS","W620","2912","TRUSSARDI RTW WOMAN","69,00","JERSEY COTONE LIGHT 100%CO ONE","T-SHIRT","T-shirt   T-shirt"
"352495","2","8057735600885","201810","36T00050_1T002190","T-SHIRT JERSEY COTONE LIGHT","S","W620","2912","TRUSSARDI RTW WOMAN","69,00","JERSEY COTONE LIGHT 100%CO ONE","T-SHIRT","T-shirt   T-shirt"
"297361","2","8057735010219","201750","52C00015_9Y099999","REGULAR TWILL CHECK W/FLANNEL","40","U040","3194","TRUSSARDI JEANS MAN","105,00","GENERICO","SHIRT","Shirt     Shirt"
"424318","2","8057735740055","201850","52J00007_1T001723H001","370 CLOSE - DYED","36","G215","3311","TRUSSARDI JEANS MAN","69,00","1Y091487 EAGLE SME","370 COLOR","Jeans 5 poColor"
"376676","2","8057735574629","201721","52J00042_1T002152C001","380 EXTRA SLIM DENIM BLACK COM","37","K299","BLACK","TRUSSARDI JEANS MAN","75,00","DENIM BLACK COMFORT / VTL","380 EXTRA SLIM DENIM","Jeans 5 poDenim"
"341425","2","8058322409409","201710","77A90326_9Y099999","SCARPA CANVAS LOGO LATERALE","45","9002","2885","TJ SHOES MAN","49,00","GENERICO","SCARPA","Shoes     Sneaker"
"376755","2","8057735551262","201721","52T00188_1T001953","PL-BIG","M","E200","2368","TRUSSARDI JEANS MAN","55,00","PIQUET 100%CO","POLO","T-shirt   Polo"
"401085","2","8057735048670","201750","77A00010_9Y099999","TALL SNEAKERS ECOLEATHER LOGO","43","K299","BLACK","TJ SHOES MAN","85,00","GENERICO","TALL SNEAKERS MAN","Shoes     Sneaker"
"401083","2","8057735048649","201750","77A00010_9Y099999","TALL SNEAKERS ECOLEATHER LOGO","41","K299","BLACK","TJ SHOES MAN","85,00","GENERICO","TALL SNEAKERS MAN","Shoes     Sneaker"
"380118","2","8057735174577","","56C00023_1Y091763","BLOUSE BOAT NECK VISCOSE CREPE","42","R290","","","89,00","","",""
"178358","2","8052085373595","201610","56M90533_1Y090842","MAGLIA MISTO LINO COTONE","XS","G060","2647","TRUSSARDI JEANS WOMA","85,00","MISTO LINO COTONE","MAGLIA","Knitter/SwKnitter"
